Round,Player,Team,Age,POS1,POS2,Price,Priced at,PTS,MP,AVG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,,Total base,,Base exceeds price premium
1,V. Radley,SYD,,MID,EDG,598000,44.30,6,13,6,,,,,,,,10,,-4,,,,,,1,,,,,,,-1,,,7,,-37.3
1,B. Piakura,BRI,,EDG,,400000,29.63,-9,1,-9,,,,,,,,,,,,,,,,,,,-4,-5,,,,,,,,-29.63
1,T. May,WST,,MID,,670000,49.63,76,65,76,,,,,,,,34,4,,,20,-2,4,,18,,,-2,,,,,,,74,,24.369999999999997
1,K. Ponga,NEW,,WFB,,730000,54.07,62,80,62,,,2,,,8,2,3,12,,,4,-8,,,20,5,8,,,,2,,4,,52,,-2.0700000000000003
1,D. Lucas,NEW,,EDG,CTR,672000,49.78,56,80,56,,,,,,4,,34,8,-4,,,,,,14,,,,,,,,,,52,,2.219999999999999
1,L. Thompson,NEW,,MID,,554000,41.04,54,52,54,,,,,,,,39,2,,,,,,,13,,,,,,,,,,54,,12.96
1,F. Sharpe,NEW,,WFB,HLF,550000,40.74,54,80,54,8,,,,,8,,8,14,-2,,4,-2,4,,12,,,,,,,,,,34,,-6.740000000000002
1,K. Pearce-Paul,NEW,,EDG,,595000,44.07,53,80,53,,,,,,,2,32,6,-2,,8,-4,,,10,,1,,,,,,,,51,,6.93
1,A. Twal,WST,,MID,,529000,39.19,53,50,53,,,,,,,,34,2,,,8,-2,,,11,,,,,,,,,,53,,13.810000000000002
1,G. Marzhew,NEW,,WFB,,481000,35.63,52,80,52,8,,,,,4,,,10,,2,12,,,,16,,,,,,,,,,40,,4.369999999999997
1,L. Galvin,WST,,HLF,,695000,51.48,50,80,50,,,,,,,,16,4,-8,2,12,-2,,,14,9,1,,,,2,,,,50,,-1.4799999999999969
1,S. Fainu,WST,,MID,EDG,536000,39.70,47,80,47,,,,,,,,32,12,-8,,,,4,,9,,,-2,,,,,,,45,,5.299999999999997
1,J. Luai,WST,,HLF,,589000,43.63,43,80,43,,,,,,,,22,,-10,2,8,,4,,6,10,1,,,,,,,,39,,-4.630000000000003
1,A. Doueihi,WST,,HLF,CTR,469000,34.74,43,80,43,,,4,,5,,2,19,2,-2,,,,4,,9,,,,,,,,,,34.5,,-0.240000000000002
1,P. Crossland,NEW,,HOK,,382000,28.30,40,60,40,,,,,,,,49,,-10,,,,,,3,,,-2,,,,,,,42,,13.7
1,D. Gagai,NEW,,CTR,,691000,51.19,39,80,39,,,,,,,,26,10,-8,,,-4,,,10,,3,,,,2,,,,39,,-12.189999999999998
1,J. Schiller,NEW,,CTR,WFB,500000,37.04,39,80,39,,,,,,4,,4,22,-4,,,-2,,,16,,1,-2,,,,,,,37,,-0.03999999999999915
1,J. Skelton,WST,,WFB,,500000,37.04,38,80,38,8,,,,,4,,,10,-6,,,-2,,,21,,3,-2,,,,,2,,28,,-9.04
1,B. Best,NEW,,CTR,,582000,43.11,36,80,36,,,,,,,,5,14,,2,8,-6,,,18,,1,-6,,,,,,,42,,-1.1099999999999994
1,M. Croker,NEW,,MID,,384000,28.44,36,33,36,,,,,,,,30,,-2,,,-2,4,,6,,,,,,,,,,32,,3.5599999999999987
1,J. Saifiti,NEW,,MID,,537000,39.78,33,46,33,,,,,,,,27,2,-4,,,,,,8,,,,,,,,,,33,,-6.780000000000001
1,J. Brailey,NEW,,HOK,,512000,37.93,33,53,33,,,,,,,,35,,-4,,,,,,2,,,,,,,,,,33,,-4.93
1,T. Frizell,NEW,,EDG,MID,589000,43.63,32,39,32,,,,,,,,29,,-2,,,,,,9,,,-4,,,,,,,36,,-7.630000000000003
1,J. Cogger,NEW,,HLF,,453000,33.56,32,80,32,,,,,,,,13,,-6,,,-2,4,,7,12,,,,,4,,,,28,,-5.560000000000002
1,A. Seyfarth,WST,,MID,EDG,475000,35.19,30,64,30,,,,,,,,32,,-6,,4,-2,,,4,,,-2,,,,,,,32,,-3.1899999999999977
