Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
S. Cobbo
BRI v SOU | WFB, CTR
J. Isaako
DOL v SGI | WFB
$413K  |  -$275k ( -$255k ), -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,, -$255k ,52,38.2,,8,,10,,,4,,9,8,-6,,,,4,,14,,1,,,,,,
M. Plath
DOL v SGI | HLF, MID
$739K  |  $239k ( $238k ), $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,, $238k ,49,52,,,,,,,,,37,4,,,,,,,10,,,-2,,,,,
H. Farnworth
DOL v SGI | CTR
$847K  |  $201k ( $210k ), $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,, $210k ,48,55,,,,,,,,2,17,8,-4,,4,,4,,17,,,,,,,,
T. Flegler
DOL v SGI | MID
$614K  |  $101k ( $78k ), $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,, $78k ,48,48.3,,,,,,,,,22,2,,2,8,,4,,13,,,-2,,,,-1,
F. Kaufusi
DOL v SGI | EDG, MID
$420K  |  -$81k ( -$78k ), -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,, -$78k ,48,32.9,,,,,,,,,34,2,-4,,,,4,,12,,,,,,,,
J. De Belin
SGI @ DOL | MID
$592K  |  -$201k ( -$183k ), -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,, -$183k ,46,47.8,,,,,,,,,36,,-6,,4,,4,,8,,,,,,,,
J. Marshall-King
DOL v SGI | HOK
