Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
L. Mitchell
SOU @ MAN | WFB
D. Cook
SOU @ MAN | HOK
$778K  |  $5k ( $5k ), $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,, $5k ,60,56.7,,,5,,,5,,2,42,4,-8,,,,4,,7,1,,-2,,,,,
R. Kennar
SOU @ MAN | WFB, CTR
$334K  |  $12k ( $12k ), $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,, $12k ,58,29,,16,,,,,8,,14,10,-8,,,-2,8,,14,,,-2,,,,,
T. Trbojevic
MAN v SOU | WFB
$788K  |  $135k ( $135k ), $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,, $135k ,54,52.6,,,,,,5,4,4,5,6,-4,4,8,-6,,,22,1,5,,,,,,
D. Cherry-Evans
MAN v SOU | HLF
$703K  |  -$174k ( -$174k ), -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,, -$174k ,53,53.3,,,,,,5,,,18,4,-2,,4,-2,,,12,12,,,,,2,,
B. Trbojevic
MAN v SOU | EDG, CTR
$367K  |  $117k ( $117k ), $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,, $117k ,53,31.1,,8,,,,,4,,35,8,-8,,,,,,6,,,,,,,,
K. Koloamatangi
SOU @ MAN | EDG, MID
$644K  |  -$17k ( -$17k ), -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,, -$17k ,49,51.8,,,,,,,,,29,2,-2,,,-2,8,,14,,,,,,,,
J. Trbojevic
MAN v SOU | MID
